match_probability,enslaved_person_id,enslaved_person_name,name_exact,name_partial,name_levenshtein,name_sequence,date_score,location_score,context_score,enslaved_description,enslaved_dates,enslaved_locations,enslaved_aliases,spreadsheet_name,spreadsheet_document,spreadsheet_dates,spreadsheet_locations
1.0,Q10278,Santiago Voyage,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,+1810-02-19T00:00:00Z,Santiago Voyage,SV-EVE-VOY-7553,H.B.,920_ROS1_(unformatted),21 Jun 1810,Carlisle
1.0,Q10344,Mariana Voyage,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,+1810-06-28T00:00:00Z,Mariana Voyage,SV-EVE-VOY-7655,H.B.,920_ROS1_(unformatted),21 Jun 1810,Carlisle
1.0,Q10357,Lindeza Voyage,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,+1810-08-20T00:00:00Z,Lindeza Voyage,SV-EVE-VOY-7506,H.B.,920_ROS1_(unformatted),21 Jun 1810,Carlisle
1.0,Q143804,Criolla Voyage,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SV-EVE-VOY-14536,+1810-02-22T00:00:00Z,Criolla Voyage,SV-EVE-VOY-14536,H.B.,920_ROS1_(unformatted),21 Jun 1810,Carlisle
1.0,Q143807,General Cuesta Voyage,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SV-EVE-VOY-14550,+1810-01-10T00:00:00Z,General Cuesta Voyage,SV-EVE-VOY-14550,H.B.,920_ROS1_(unformatted),21 Jun 1810,Carlisle
0.9411764705882353,Q589711,W Roscoe,0.0,0.5,0.8888888888888888,0.9411764705882353,0.0,0.0,0.0,LBS-PER-224245119,,"W. Roscoe, W., Roscoe",LBS-PER-224245119,Wm Roscoe,920_ROS1_(unformatted),13 Aug 1799,Aldingham
0.7902097902097902,Q41200,Birth of Rose,0.0,0.0,0.23076923076923073,0.45454545454545453,1.0,0.0,0.0,LSD-EVE-BIR-028957,+1799-01-01T00:00:00Z,Birth of Rose,LSD-EVE-BIR-028957,Wm Roscoe,920_ROS1_(unformatted),13 Aug 1799,Aldingham
0.7902097902097902,Q44135,Birth of Cloe,0.0,0.0,0.3076923076923077,0.45454545454545453,1.0,0.0,0.0,LSD-EVE-BIR-002658,+1799-01-01T00:00:00Z,Birth of Cloe,LSD-EVE-BIR-002658,Wm Roscoe,920_ROS1_(unformatted),13 Aug 1799,Aldingham
0.7902097902097902,Q45587,Birth of Rose,0.0,0.0,0.23076923076923073,0.45454545454545453,1.0,0.0,0.0,LSD-EVE-BIR-031661,+1799-01-01T00:00:00Z,Birth of Rose,LSD-EVE-BIR-031661,Wm Roscoe,920_ROS1_(unformatted),13 Aug 1799,Aldingham
0.7902097902097902,Q45637,Birth of Rose,0.0,0.0,0.23076923076923073,0.45454545454545453,1.0,0.0,0.0,LSD-EVE-BIR-031657,+1799-01-01T00:00:00Z,Birth of Rose,LSD-EVE-BIR-031657,Wm Roscoe,920_ROS1_(unformatted),13 Aug 1799,Aldingham
0.8138957816377171,Q31433,Birth of Paulin,0.0,0.0,0.25,0.5161290322580645,1.0,0.0,0.0,LSD-EVE-BIR-026379,+1799-01-01T00:00:00Z,Birth of Paulin,LSD-EVE-BIR-026379,Dr Roger Baldwin,920_ROS1_(unformatted),Sep 1799,Ulverston
0.8076923076923077,Q34495,Birth of Basilia,0.0,0.0,0.25,0.5,1.0,0.0,0.0,LSD-EVE-BIR-023323,+1799-01-01T00:00:00Z,Birth of Basilia,LSD-EVE-BIR-023323,Dr Roger Baldwin,920_ROS1_(unformatted),Sep 1799,Ulverston
0.8076923076923077,Q50164,Birth of Bastien,0.0,0.0,0.25,0.5,1.0,0.0,0.0,LSD-EVE-BIR-078558,+1799-01-01T00:00:00Z,Birth of Bastien,LSD-EVE-BIR-078558,Dr Roger Baldwin,920_ROS1_(unformatted),Sep 1799,Ulverston
0.8076923076923077,Q59504,Birth of Peter Lewis,0.0,0.0,0.30000000000000004,0.5,1.0,0.0,0.0,LSD-EVE-BIR-069219,+1799-01-01T00:00:00Z,Birth of Peter Lewis,LSD-EVE-BIR-069219,Dr Roger Baldwin,920_ROS1_(unformatted),Sep 1799,Ulverston
0.8076923076923077,Q59517,Birth of Peter Lewis,0.0,0.0,0.30000000000000004,0.5,1.0,0.0,0.0,LSD-EVE-BIR-069218,+1799-01-01T00:00:00Z,Birth of Peter Lewis,LSD-EVE-BIR-069218,Dr Roger Baldwin,920_ROS1_(unformatted),Sep 1799,Ulverston
0.8410256410256409,Q618138,James Renny,0.0,0.0,0.5454545454545454,0.6666666666666666,0.95,0.0,0.0,LBS-PER-2146650953,"Will of James Renny of St Thomas-in-the-East Jamaica proved 20/03/1800. He left 50 guineas each to four male friends in Jamaica, 100 guineas to his relative James Ouchterlony and his estate to his&hellip;","James Renny, James, Renny",LBS-PER-2146650953,Miss Penny,920_ROS1_(unformatted),9 Dec 1799,Chatte Mosse
0.808974358974359,Q70543,Birth of Penny,0.0,0.3333333333333333,0.5,0.5833333333333334,0.95,0.0,0.0,LSD-EVE-BIR-058232,+1800-01-01T00:00:00Z,Birth of Penny,LSD-EVE-BIR-058232,Miss Penny,920_ROS1_(unformatted),9 Dec 1799,Chatte Mosse
0.8076923076923077,Q16344,Birth of Jenny,0.0,0.0,0.4285714285714286,0.5,1.0,0.0,0.0,LSD-EVE-BIR-003999,+1799-01-01T00:00:00Z,Birth of Jenny,LSD-EVE-BIR-003999,Miss Penny,920_ROS1_(unformatted),9 Dec 1799,Chatte Mosse
0.8076923076923077,Q56062,Birth of Wenny,0.0,0.0,0.4285714285714286,0.5,1.0,0.0,0.0,LSD-EVE-BIR-072650,+1799-01-01T00:00:00Z,Birth of Wenny,LSD-EVE-BIR-072650,Miss Penny,920_ROS1_(unformatted),9 Dec 1799,Chatte Mosse
0.8076923076923077,Q56106,Birth of Wenny,0.0,0.0,0.4285714285714286,0.5,1.0,0.0,0.0,LSD-EVE-BIR-072649,+1799-01-01T00:00:00Z,Birth of Wenny,LSD-EVE-BIR-072649,Miss Penny,920_ROS1_(unformatted),9 Dec 1799,Chatte Mosse
1.0,Q237241,Wm Clarke,1.0,1.0,1.0,1.0,0.0,0.0,0.0,SV-PER-25066C1,,"Clarke, Wm, Clarke, Wm",SV-PER-25066C1,Wm Clarke,920_ROS1_(unformatted),21 Dec 1799,Liverpool
0.8888888888888888,Q575044,TM Clarke,0.0,0.5,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,LBS-PER-16248,,"T.M. Clarke, T.M., Clarke",LBS-PER-16248,Wm Clarke,920_ROS1_(unformatted),21 Dec 1799,Liverpool
